id,title,price,currency,location,date,url,image
60567696,Ховли уй сотилади! Срочно!,412447200,UZS,Андижан,Сегодня в 09:37,https://www.olx.uz/d/obyavlenie/hovli-uy-sotiladi-srochno-ID468qk.html,/app/static/media/no_thumbnail.15f456ec5.svg
63787043,Олмазор тумани Коракамиш 1/2 Новотройка 1-хона,263844900,UZS,"Ташкент, Алмазарский район",Сегодня в 09:37,https://www.olx.uz/d/obyavlenie/olmazor-tumani-korakamish-1-2-novotroyka-1-hona-ID4jDWh.html,/app/static/media/no_thumbnail.15f456ec5.svg
63787042,"Арендага 3-хонали квартира берилади, Мусаффо масканда",4488396,UZS,"Ташкент, Бектемирский район",Сегодня в 09:37,https://www.olx.uz/d/obyavlenie/arendaga-3-honali-kvartira-beriladi-musaffo-maskanda-ID4jDWg.html,/app/static/media/no_thumbnail.15f456ec5.svg
60273601,Поликлиника ИЖАРАГА берилади,9704640,UZS,Андижан,Сегодня в 09:37,https://www.olx.uz/d/obyavlenie/poliklinika-izharaga-beriladi-ID44TUR.html,/app/static/media/no_thumbnail.15f456ec5.svg
63604269,1/6/12 ЖК Хонабод Авеню метро Ханабад,424578000,UZS,"Ташкент, Сергелийский район",Сегодня в 09:37,https://www.olx.uz/d/obyavlenie/1-6-12-zhk-honabod-avenyu-metro-hanabad-ID4iSnj.html,/app/static/media/no_thumbnail.15f456ec5.svg
54210762,Аренда 2/3/4 Коракамиш 1/3,5458860,UZS,"Ташкент, Алмазарский район",Сегодня в 09:37,https://www.olx.uz/d/obyavlenie/arenda-2-3-4-korakamish-1-3-ID3FsH8.html,/app/static/media/no_thumbnail.15f456ec5.svg
53004227,Аренда 2/2/4 Коракамиш 2/1,5458860,UZS,"Ташкент, Алмазарский район",Сегодня в 09:37,https://www.olx.uz/d/obyavlenie/arenda-2-2-4-korakamish-2-1-ID3AoOT.html,/app/static/media/no_thumbnail.15f456ec5.svg
63405236,Аренда 2 хонали уй Максим Горький,6065400,UZS,"Ташкент, Мирзо-Улугбекский район",Сегодня в 09:37,https://www.olx.uz/d/obyavlenie/arenda-2-honali-uy-maksim-gorkiy-ID4i2B6.html,/app/static/media/no_thumbnail.15f456ec5.svg
53853394,Аренда 2/1/4 Коракамиш 2/4,4852320,UZS,"Ташкент, Алмазарский район",Сегодня в 09:37,https://www.olx.uz/d/obyavlenie/arenda-2-1-4-korakamish-2-4-ID3DXJ8.html,/app/static/media/no_thumbnail.15f456ec5.svg
62940535,Аренда офиса | 140 кв.м рядом с Саракульским кольцом,388186,UZS,"Ташкент, Мирабадский район",Сегодня в 09:36,https://www.olx.uz/d/obyavlenie/arenda-ofisa-140-kv-m-ryadom-s-sarakulskim-koltsom-ID4g5HW.html,/app/static/media/no_thumbnail.15f456ec5.svg
45753244,Kvartira mehmonxona gostinsa квартира гостиница hotel xostel hostel уй,45000,UZS,"Ташкент, Шайхантахурский район",07 марта 2026 г.,https://www.olx.uz/d/obyavlenie/kvartira-mehmonxona-gostinsa-kvartira-gostinitsa-hotel-xostel-hostel-uy-ID35Ywy.html,/app/static/media/no_thumbnail.15f456ec5.svg
62536327,Недорого ГОСТИНИЦА БЕЗ ЗАКСа/ хостел /хотел,45000,UZS,"Ташкент, Яккасарайский район",07 марта 2026 г.,https://www.olx.uz/d/obyavlenie/nedorogo-gostinitsa-bez-zaksa-hostel-hotel-ID4eoyr.html,/app/static/media/no_thumbnail.15f456ec5.svg
57260771,"Улгурганга янги квартирала котлован нархида! ЖК Бунедкор, Яшнобод тум",252927180,UZS,"Ташкент, Яшнабадский район",07 марта 2026 г.,https://www.olx.uz/d/obyavlenie/ulgurganga-yangi-kvartirala-kotlovan-narhida-zhk-bunedkor-yashnobod-tum-ID3Sg8P.html,/app/static/media/no_thumbnail.15f456ec5.svg
62226094,Kunlik kvartira Mehmonxona Hotel Гостиница,90000,UZS,"Ташкент, Чиланзарский район",Сегодня в 09:36,https://www.olx.uz/d/obyavlenie/kunlik-kvartira-mehmonxona-hotel-gostinitsa-ID4d5QG.html,/app/static/media/no_thumbnail.15f456ec5.svg
60792112,Уй сотилади 1 хона Green house Сергели Индекс бозори,460970400,UZS,"Ташкент, Сергелийский район",Сегодня в 09:36,https://www.olx.uz/d/obyavlenie/uy-sotiladi-1-hona-green-house-sergeli-indeks-bozori-ID474NV.html,/app/static/media/no_thumbnail.15f456ec5.svg
45905090,Ц1 / Эко парк НЕЖЕЛОЕ ПОМЕЩЕНИЕ 200м2 / Офис / Бутик,7642404000,UZS,"Ташкент, Мирзо-Улугбекский район",Сегодня в 09:36,https://www.olx.uz/d/obyavlenie/ts1-eko-park-nezheloe-pomeschenie-200m2-ofis-butik-ID36C0G.html,/app/static/media/no_thumbnail.15f456ec5.svg
53377956,Kvartiran queamiz 2 xonalik xama sharoyit bor Mulljal metkolej ruparaz,1819620,UZS,Карши,Сегодня в 09:36,https://www.olx.uz/d/obyavlenie/kvartiran-queamiz-2-xonalik-xama-sharoyit-bor-mulljal-metkolej-ruparaz-ID3BY2M.html,/app/static/media/no_thumbnail.15f456ec5.svg
62662172,Мирзолугбекский район. Сдам в аренду фармсклад площадью 611кв.м.,145570,UZS,"Ташкент, Мирзо-Улугбекский район",Сегодня в 09:35,https://www.olx.uz/d/obyavlenie/mirzolugbekskiy-rayon-sdam-v-arendu-farmsklad-ploschadyu-611kv-m-ID4eWic.html,/app/static/media/no_thumbnail.15f456ec5.svg
63688283,"Срочно сотилади. 3 хона 104 м2. ""NURHAYAT"" ТЖМ. Янгихаят. OY 04",782436600,UZS,"Ташкент, Сергелийский район",Сегодня в 09:35,https://www.olx.uz/d/obyavlenie/srochno-sotiladi-3-hona-104-m2-nurhayat-tzhm-yangihayat-oy-04-ID4jeen.html,/app/static/media/no_thumbnail.15f456ec5.svg
62690813,Мирзоулугбекский район.Экобазар.Продам 3/3/7 с мебелью и техникой.,1395042000,UZS,"Ташкент, Мирзо-Улугбекский район",Сегодня в 09:35,https://www.olx.uz/d/obyavlenie/mirzoulugbekskiy-rayon-ekobazar-prodam-3-3-7-s-mebelyu-i-tehnikoy-ID4f2K9.html,/app/static/media/no_thumbnail.15f456ec5.svg
62690596,"Чукурсай. Сдам в аренду фарм.склады площадью 411, 306, 253кв.м.",121308,UZS,"Ташкент, Алмазарский район",Сегодня в 09:35,https://www.olx.uz/d/obyavlenie/chukursay-sdam-v-arendu-farm-sklady-ploschadyu-411-306-253kv-m-ID4f2GE.html,/app/static/media/no_thumbnail.15f456ec5.svg
56305430,Срочно Медгородок элитный жилой комплекс,1880274000,UZS,"Ташкент, Алмазарский район",Сегодня в 09:35,https://www.olx.uz/d/obyavlenie/srochno-medgorodok-elitnyy-zhiloy-kompleks-ID3OfC6.html,/app/static/media/no_thumbnail.15f456ec5.svg
61038801,Uch Qaxramon postidan 5km.Guliston. 8 sotixli uy kurishga yer sotaman.,1334388000,UZS,"Ташкент, Юнусабадский район",Сегодня в 09:35,https://www.olx.uz/d/obyavlenie/uch-qaxramon-postidan-5km-guliston-8-sotixli-uy-kurishga-yer-sotaman-ID486YN.html,/app/static/media/no_thumbnail.15f456ec5.svg
